Year,Period,labor force,employment,unemployment,unemployment rate
2000,Jan,156565,152282,4283,2.7
2000,Feb,157987,153858,4129,2.6
2000,Mar,158709,154757,3952,2.5
2000,Apr,158270,154769,3501,2.2
2000,May,158366,154972,3394,2.1
2000,Jun,158902,154701,4201,2.6
2000,Jul,158548,154431,4117,2.6
2000,Aug,158775,154712,4063,2.6
2000,Sep,160710,157013,3697,2.3
2000,Oct,161943,158461,3482,2.2
2000,Nov,162733,159103,3630,2.2
2000,Dec,162755,159670,3085,1.9
2001,Jan,160961,156895,4066,2.5
2001,Feb,161885,157616,4269,2.6
2001,Mar,161848,157438,4410,2.7
2001,Apr,161555,157085,4470,2.8
2001,May,161314,156649,4665,2.9
2001,Jun,162003,156305,5698,3.5
2001,Jul,162209,156313,5896,3.6
2001,Aug,159180,152895,6285,3.9
2001,Sep,162383,156039,6344,3.9
2001,Oct,164828,157228,7600,4.6
2001,Nov,165062,156133,8929,5.4
2001,Dec,165146,155756,9390,5.7
2002,Jan,162559,152140,10419,6.4
2002,Feb,164096,154106,9990,6.1
2002,Mar,164410,154347,10063,6.1
2002,Apr,164056,154446,9610,5.9
2002,May,164016,155256,8760,5.3
2002,Jun,163767,154002,9765,6
2002,Jul,162133,152616,9517,5.9
2002,Aug,162166,152687,9479,5.8
2002,Sep,164840,155838,9002,5.5
2002,Oct,165122,156311,8811,5.3
2002,Nov,164029,154636,9393,5.7
2002,Dec,162090,153097,8993,5.5
2003,Jan,162672,152759,9913,6.1
2003,Feb,163999,154108,9891,6
2003,Mar,163949,153964,9985,6.1
2003,Apr,164394,154678,9716,5.9
2003,May,164461,155113,9348,5.7
2003,Jun,164443,153952,10491,6.4
2003,Jul,162521,152525,9996,6.2
2003,Aug,162442,153092,9350,5.8
2003,Sep,164682,155826,8856,5.4
2003,Oct,165867,157254,8613,5.2
2003,Nov,165910,157132,8778,5.3
2003,Dec,164606,156313,8293,5
2004,Jan,163424,154439,8985,5.5
2004,Feb,164532,155825,8707,5.3
2004,Mar,163580,155001,8579,5.2
2004,Apr,164227,156372,7855,4.8
2004,May,165479,157791,7688,4.6
2004,Jun,165369,156763,8606,5.2
2004,Jul,164886,156578,8308,5
2004,Aug,165126,157210,7916,4.8
2004,Sep,167963,160346,7617,4.5
2004,Oct,170767,162983,7784,4.6
2004,Nov,170244,162206,8038,4.7
2004,Dec,169080,161155,7925,4.7
2005,Jan,166170,158167,8003,4.8
2005,Feb,167773,159486,8287,4.9
2005,Mar,166523,158529,7994,4.8
2005,Apr,167769,160166,7603,4.5
2005,May,168211,160816,7395,4.4
2005,Jun,167348,159403,7945,4.7
2005,Jul,166148,158519,7629,4.6
2005,Aug,166014,158920,7094,4.3
2005,Sep,168252,161301,6951,4.1
2005,Oct,169017,162396,6621,3.9
2005,Nov,168312,161407,6905,4.1
2005,Dec,168322,161749,6573,3.9
2006,Jan,165139,158260,6879,4.2
2006,Feb,168041,161432,6609,3.9
2006,Mar,168040,161467,6573,3.9
2006,Apr,169604,163258,6346,3.7
2006,May,170166,163991,6175,3.6
2006,Jun,170332,163443,6889,4
2006,Jul,169345,162462,6883,4.1
2006,Aug,169504,163032,6472,3.8
2006,Sep,172306,166533,5773,3.4
2006,Oct,175507,170066,5441,3.1
2006,Nov,173974,168415,5559,3.2
2006,Dec,173488,168347,5141,3
2007,Jan,169597,163521,6076,3.6
2007,Feb,172324,166513,5811,3.4
2007,Mar,172127,166781,5346,3.1
2007,Apr,171785,166868,4917,2.9
2007,May,172714,167922,4792,2.8
2007,Jun,174032,168239,5793,3.3
2007,Jul,172983,167044,5939,3.4
2007,Aug,171908,166250,5658,3.3
2007,Sep,175510,169951,5559,3.2
2007,Oct,177454,172009,5445,3.1
2007,Nov,176780,171006,5774,3.3
2007,Dec,175570,169559,6011,3.4
2008,Jan,175108,168243,6865,3.9
2008,Feb,177432,170588,6844,3.9
2008,Mar,177730,170928,6802,3.8
2008,Apr,179201,172948,6253,3.5
2008,May,178788,172025,6763,3.8
2008,Jun,177763,170027,7736,4.4
2008,Jul,176317,168517,7800,4.4
2008,Aug,173897,166257,7640,4.4
2008,Sep,176309,169124,7185,4.1
2008,Oct,178071,170392,7679,4.3
2008,Nov,176661,168806,7855,4.4
2008,Dec,175447,167154,8293,4.7
2009,Jan,173748,163295,10453,6
2009,Feb,176054,164492,11562,6.6
2009,Mar,175209,163557,11652,6.7
2009,Apr,177014,165407,11607,6.6
2009,May,177110,165022,12088,6.8
2009,Jun,175739,162591,13148,7.5
2009,Jul,174540,161813,12727,7.3
2009,Aug,172051,160118,11933,6.9
2009,Sep,173195,161970,11225,6.5
2009,Oct,173861,162718,11143,6.4
2009,Nov,174854,163621,11233,6.4
2009,Dec,173576,161862,11714,6.7
2010,Jan,167877,154600,13277,7.9
2010,Feb,168965,155682,13283,7.9
2010,Mar,168940,155821,13119,7.8
2010,Apr,170030,157802,12228,7.2
2010,May,169329,157389,11940,7.1
2010,Jun,168448,155712,12736,7.6
2010,Jul,168650,155968,12682,7.5
2010,Aug,167834,155351,12483,7.4
2010,Sep,169946,157994,11952,7
2010,Oct,171233,159005,12228,7.1
2010,Nov,171494,158558,12936,7.5
2010,Dec,170211,157940,12271,7.2
2011,Jan,169017,156198,12819,7.6
2011,Feb,170317,157729,12588,7.4
2011,Mar,169695,157929,11766,6.9
2011,Apr,170652,159668,10984,6.4
2011,May,171987,160416,11571,6.7
2011,Jun,170360,158407,11953,7
2011,Jul,171337,159436,11901,6.9
2011,Aug,170719,159167,11552,6.8
2011,Sep,174176,163077,11099,6.4
2011,Oct,175311,164147,11164,6.4
2011,Nov,174603,163580,11023,6.3
2011,Dec,172926,162261,10665,6.2
2012,Jan,171130,159549,11581,6.8
2012,Feb,173638,161432,12206,7
2012,Mar,173260,161627,11633,6.7
2012,Apr,173277,162418,10859,6.3
2012,May,174639,163610,11029,6.3
2012,Jun,174125,162131,11994,6.9
2012,Jul,173402,161594,11808,6.8
2012,Aug,172494,161529,10965,6.4
2012,Sep,175296,165189,10107,5.8
2012,Oct,176897,166660,10237,5.8
2012,Nov,174609,164785,9824,5.6
2012,Dec,174514,164799,9715,5.6
2013,Jan,173964,163458,10506,6
2013,Feb,175225,164488,10737,6.1
2013,Mar,173043,163336,9707,5.6
2013,Apr,173972,164897,9075,5.2
2013,May,175265,165930,9335,5.3
2013,Jun,174546,163815,10731,6.1
2013,Jul,174235,164376,9859,5.7
2013,Aug,173748,164637,9111,5.2
2013,Sep,176367,167531,8836,5
2013,Oct,175457,166483,8974,5.1
2013,Nov,175906,167409,8497,4.8
2013,Dec,174244,166485,7759,4.5
2014,Jan,174592,165884,8708,5
2014,Feb,176552,167322,9230,5.2
2014,Mar,175405,166972,8433,4.8
2014,Apr,175296,167703,7593,4.3
2014,May,175724,168700,7024,4
2014,Jun,174956,167601,7355,4.2
2014,Jul,175424,168043,7381,4.2
2014,Aug,174502,167793,6709,3.8
2014,Sep,176973,171123,5850,3.3
2014,Oct,178586,172728,5858,3.3
2014,Nov,177500,171492,6008,3.4
2014,Dec,175318,169777,5541,3.2
2015,Jan,175839,169532,6307,3.6
2015,Feb,175716,169207,6509,3.7
2015,Mar,175075,169105,5970,3.4
2015,Apr,175102,169641,5461,3.1
2015,May,176984,171326,5658,3.2
2015,Jun,175407,169556,5851,3.3
2015,Jul,175312,169915,5397,3.1
2015,Aug,175003,170004,4999,2.9
2015,Sep,177338,172957,4381,2.5
2015,Oct,178679,174066,4613,2.6
2015,Nov,179241,174640,4601,2.6
2015,Dec,177221,172798,4423,2.5
2016,Jan,170903(T),165996(T),4907(T),2.9(T)
2016,Feb,173227(T),167873(T),5354(T),3.1(T)
2016,Mar,172833(T),167748(T),5085(T),2.9(T)
2016,Apr,172994(T),168278(T),4716(T),2.7(T)
2016,May,170128(T),165525(T),4603(T),2.7(T)
2016,Jun,173204(T),167870(T),5334(T),3.1(T)
2016,Jul,172136(T),167105(T),5031(T),2.9(T)
2016,Aug,171585(T),166718(T),4867(T),2.8(T)
2016,Sep,175329(T),171147(T),4182(T),2.4(T)
2016,Oct,174828(T),170665(T),4163(T),2.4(T)
2016,Nov,176354(T),172597(T),3757(T),2.1(T)
2016,Dec,174700(T),170997(T),3703(T),2.1(T)
2017,Jan,172613(T),168165(T),4448(T),2.6(T)
2017,Feb,176632(T),172160(T),4472(T),2.5(T)
2017,Mar,176831(T),173248(T),3583(T),2.0(T)
2017,Apr,177297(T),173842(T),3455(T),1.9(T)
2017,May,177889(T),174135(T),3754(T),2.1(T)
2017,Jun,177149(T),172704(T),4445(T),2.5(T)
2017,Jul,177860(T),173353(T),4507(T),2.5(T)
2017,Aug,178304(T),173853(T),4451(T),2.5(T)
2017,Sep,181268(T),177114(T),4154(T),2.3(T)
2017,Oct,181319(T),176945(T),4374(T),2.4(T)
2017,Nov,179941(T),175526(T),4415(T),2.5(T)
2017,Dec,180799(T),176458(T),4341(T),2.4(T)
2018,Jan,178433(T),173586(T),4847(T),2.7(T)
2018,Feb,183483(T),178022(T),5461(T),3.0(T)
2018,Mar,182872(T),177876(T),4996(T),2.7(T)
2018,Apr,182841(T),178096(T),4745(T),2.6(T)
2018,May,184355(T),179757(T),4598(T),2.5(T)
2018,Jun,184251(T),178575(T),5676(T),3.1(T)
2018,Jul,183615(T),177919(T),5696(T),3.1(T)
2018,Aug,184708(T),179150(T),5558(T),3.0(T)
2018,Sep,184956(T),179949(T),5007(T),2.7(T)
2018,Oct,186949(T),181891(T),5058(T),2.7(T)
2018,Nov,186772(T),181925(T),4847(T),2.6(T)
2018,Dec,185244(T),180382(T),4862(T),2.6(T)
2019,Jan,183238(T),178010(T),5228(T),2.9(T)
2019,Feb,187226(T),182131(T),5095(T),2.7(T)
2019,Mar,186674(T),182028(T),4646(T),2.5(T)
2019,Apr,185555(T),181457(T),4098(T),2.2(T)
2019,May,187795(T),183935(T),3860(T),2.1(T)
2019,Jun,184929(T),180168(T),4761(T),2.6(T)
2019,Jul,185762(T),181201(T),4561(T),2.5(T)
2019,Aug,188063(T),183546(T),4517(T),2.4(T)
2019,Sep,189378(T),185233(T),4145(T),2.2(T)
2019,Oct,189373(T),185121(T),4252(T),2.2(T)
2019,Nov,189894(T),185662(T),4232(T),2.2(T)
2019,Dec,188121(T),183927(T),4194(T),2.2(T)
2020,Jan,186941(T),181927(T),5014(T),2.7(T)
2020,Feb,190673(T),185222(T),5451(T),2.9(T)
2020,Mar,188720(T),182387(T),6333(T),3.4(T)
2020,Apr,178433(T),161946(T),16487(T),9.2(T)
2020,May,184959(T),166020(T),18939(T),10.2(T)
2020,Jun,185603(T),165961(T),19642(T),10.6(T)
2020,Jul,176810(T),165581(T),11229(T),6.4(T)
2020,Aug,180665(T),170794(T),9871(T),5.5(T)
2020,Sep,183612(T),173486(T),10126(T),5.5(T)
2020,Oct,184328(T),174898(T),9430(T),5.1(T)
2020,Nov,184313(T),174709(T),9604(T),5.2(T)
2020,Dec,183230(T),173153(T),10077(T),5.5(T)
2021,Jan,183824(T),173116(T),10708(T),5.8(T)
2021,Feb,185891(T),175775(T),10116(T),5.4(T)
2021,Mar,186479(T),176590(T),9889(T),5.3(T)
2021,Apr,187583(T),178010(T),9573(T),5.1(T)
2021,May,188723(T),179609(T),9114(T),4.8(T)
2021,Jun,189050(T),178650(T),10400(T),5.5(T)
2021,Jul,190103(T),180817(T),9286(T),4.9(T)
2021,Aug,189631(T),181028(T),8603(T),4.5(T)
2021,Sep,191403(T),183959(T),7444(T),3.9(T)
2021,Oct,191484(T),184119(T),7365(T),3.8(T)
2021,Nov,191736(T),185165(T),6571(T),3.4(T)
2021,Dec,190726(T),184574(T),6152(T),3.2(T)
2022,Jan,189589(T),182750(T),6839(T),3.6(T)
2022,Feb,192453(T),185880(T),6573(T),3.4(T)
2022,Mar,192122(T),186592(T),5530(T),2.9(T)
2022,Apr,191456(T),186680(T),4776(T),2.5(T)
2022,May,192069(T),187328(T),4741(T),2.5(T)
2022,Jun,191531(T),186139(T),5392(T),2.8(T)
2022,Jul,190968(T),185578(T),5390(T),2.8(T)
2022,Aug,190831(T),186064(T),4767(T),2.5(T)
2022,Sep,193312(T),188933(T),4379(T),2.3(T)
2022,Oct,192715(T),187981(T),4734(T),2.5(T)
2022,Nov,193091(T),188176(T),4915(T),2.5(T)
2022,Dec,191312(T),186899(T),4413(T),2.3(T)
2023,Jan,190902(T),185700(T),5202(T),2.7(T)
2023,Feb,194142(T),188170(T),5972(T),3.1(T)
2023,Mar,193638(T),188328(T),5310(T),2.7(T)
2023,Apr,192953(T),188264(T),4689(T),2.4(T)
2023,May,193406(T),187703(T),5703(T),2.9(T)
2023,Jun,193221(T),186213(T),7008(T),3.6(T)
2023,Jul,192632(T),186039(T),6593(T),3.4(T)
2023,Aug,192280(T),185572(T),6708(T),3.5(T)
2023,Sep,195337(T),189054(T),6283(T),3.2(T)
2023,Oct,194914(T),188372(T),6542(T),3.4(T)
2023,Nov,196130(T),189571(T),6559(T),3.3(T)
2023,Dec,193061(T),186454(T),6607(T),3.4(T)
2024,Jan,192597(T),185296(T),7301(T),3.8(T)
2024,Feb,194216(T),186624(T),7592(T),3.9(T)
2024,Mar,194213(T),187139(T),7074(T),3.6(T)
2024,Apr,193890(T),186958(T),6932(T),3.6(T)
2024,May,194272(T),186487(T),7785(T),4.0(T)
2024,Jun,193190(T),184461(T),8729(T),4.5(T)
2024,Jul,193163(T),184095(T),9068(T),4.7(T)
2024,Aug,192573(T),183568(T),9005(T),4.7(T)
2024,Sep,194723(T),186280(T),8443(T),4.3(T)
2024,Oct,194533(T),186010(T),8523(T),4.4(T)
2024,Nov,194736(T),185752(T),8984(T),4.6(T)
2024,Dec,193211(T),184910(T),8301(T),4.3(T)
2025,Jan,194187,185008,9179,4.7
2025,Feb,193654,183999,9655,5
2025,Mar,193921,184997,8924,4.6
2025,Apr,195353,186280,9073,4.6
2025,May,194378(P),185476(P),8902(P),4.6(P)